NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE HORECA;TYPE;TELEPHONE;TYPE_restaurant
DELI WOK;Avenue du Centenaire;243;6061;Montignies-sur-Sambre;Restaurant;Asiatique;071/95.45.68;Asiatique
Arda Grill-Pizza;Rue Brigade Piron;314;6061;Montignies-sur-Sambre;Restaurant;Pizzeria;071/46.59.74;Pizzeria
Hôtel de la Basse-Sambre;Rue de la Persévérance;19;6061;Montignies-sur-Sambre;Hôtel;;071/420168;
L'Athènes;Chaussée de Bruxelles;193;6040;Jumet;Restaurant;Grec;071/34 10 18;Grec
Quattro Stagioni;Rue des Hamendes;208;6040;Jumet;Restaurant;Italien;071/37 48 60;Italien
On 600 Bien;Rue du Carrosse;15;6040;Jumet;Restaurant;Autre;071/37 46 69;Autre
Pizza Hut Express;Avenue Jules Hénin;1;6000;Charleroi;Restaurant;Autre;0485/53.23.23;Autre
Chez Vedat;Boulevard Jacques Bertrand;64;6000;Charleroi;Restaurant;Autre;0484/70.57.35;Autre
La Grande Rotisserie;Rue Chavannes;1;6000;Charleroi;Restaurant;Autre;;Autre
Nonna Rita;Rue de France;29;6000;Charleroi;Restaurant;Autre;071/30.65.22;Autre
Los Tacos;Rue des Trois Rois;9;6000;Charleroi;Restaurant;Mexicain;071/33.27.80;Mexicain
Le Chateaubriand;Rue De Montigny;16;6000;Charleroi;Restaurant;Français;071/32.25.29;Français
Da Noì;Rue Du Parc;53;6000;Charleroi;Restaurant;Autre;0483/59.99.91;Autre
Cup Pasta;Place Emile Buisset;2;6000;Charleroi;Restaurant;Autre;04847/58.77.61;Autre
La Bon'Heure;Rue Arthur Regniers;07-sept;6000;Charleroi;Restaurant;Autre;0486/26.07.54;Autre
Restaurant Asia;Rue De Marchienne;21;6000;Charleroi;Restaurant;Autre;071/31.64.18;Autre
Sushi House;Rue De Dampremy;18;6000;Charleroi;Restaurant;Autre;071/32.56.44;Autre
Villa Dantimi;Rue du Chemin Vert;127;6042;Lodelinsart;Restaurant;Autre;071/65 17 99;Autre
Chez Sereno;Rue Tourneur;116;6030;Marchienne-au-Pont;Restaurant;Autre;071 51 74 89;Autre
Spiros;Rue de Beaumont;200;6030;Marchienne-au-Pont;Restaurant;Autre;071 51 06 25;Autre
CHEZ VITO;Rue de Marchienne;7;6044;Roux;Restaurant;Italien;071 46 32 92;Italien
TOMATES ET MOZZARELLA;Rue Emmanuel Jacquet;73;6044;Roux;Restaurant;Pizzeria;071 37 52 42;Pizzeria
LE NEW DERBY;Avenue Jules Destrée;2;6031;Monceau-sur-Sambre;Restaurant;Autre;071.32.31.81;Autre
Le Bambino;Rue des Combattants;51;6031;Monceau-sur-Sambre;Restaurant;Italien;071 31 87 10;Italien
LA MAIN A LA PATE;Avenue Paul Pastur;365;6032;Mont-sur-Marchienne;Restaurant;Autre;071 47 48 91;Autre
SAPORI D ITALIA;Rue du Centenaire;61;6032;Mont-sur-Marchienne;Restaurant;Italien;;Italien
La Tarantella;Rue du Spinois;28C;6041;Gosselies;Restaurant;Pizzeria;0478 08 61 00;Pizzeria
Quick;rue de la Pépinière;14;6041;Gosselies;Restaurant;Fast-food;071 34 43 74;Fast-food
La Cantina del Sud;Place Basile Parent;4;6010;Couillet;Restaurant;Autre;071/950951;Autre
ARRIVO PIZZA;ROUTE DE PHILIPPEVILLE;169;6010;Couillet;Restaurant;Autre;071/303040;Autre
L'Entre Potes;Route de Philippeville;359;6010;Couillet;Restaurant;Autre;071 47 10 48;Autre
La Capricciosa Abruzzese;Rue de Villers;347;6010;Couillet;Restaurant;Autre;071/479994;Autre
Chez Giuseppe et Louna;Chaussée de Ransart;316A;6060;Gilly;Restaurant;Autre;071 17 89 64;Autre
Le Wok Palais Wang;Chaussée de Lodelinsart;7;6060;Gilly;Restaurant;Chinois;071 41 20 95;Chinois
Saveurs du Monde;Avenue de Philippeville;161;6001;Marcinelle;Restaurant;Autre;071/510768;Autre
Cousins Cuisine;Avenue Mascaux;19;6001;Marcinelle;Restaurant;Autre;071 47 19 12;Autre
L'Adriatica;Avenue Mascaux;299;6001;Marcinelle;Restaurant;Pizzeria;071/ 47 41 11;Pizzeria
L'Essingan;Avenue Meurée;63;6001;Marcinelle;Restaurant;Autre;0493/450046;Autre
Au verre y table;Chaussée de Charleroi;27;6061;Montignies-sur-Sambre;Restaurant;Autre;(+32) 71 17 29 69;Autre
ANTICA SARDEGNA;Chaussée de Chatelineau;263;6061;Montignies-sur-Sambre;Restaurant;Autre;071/302698;Autre
L'Abruzzese;Chaussée de Gilly;166;6040;Jumet;Restaurant;Italien;071/35 64 16;Italien
Steack House & Bar's;Place du Ballon;13;6040;Jumet;Restaurant;Autre;0800/37007;Autre
Pizzeria da Tore;Place du Ballon;29 A;6040;Jumet;Restaurant;Pizzeria;;Pizzeria
Chez Angelo;Rue Jules Panier;1/A;6040;Jumet;Restaurant;Autre;;Autre
Alta Pizza;Rue Puissant;27;6040;Jumet;Restaurant;Pizzeria;071/34 03 43;Pizzeria
Kings BBQ;Avenue de Waterloo;74;6000;Charleroi;Restaurant;Autre;0496/85.19.15 - 0468/53.79.31;Autre
Lahori Taste;Rue de la Régence;69;6000;Charleroi;Restaurant;Indien;;Indien
La Bouche Des Gouts;Rue Vauban;14;6000;Charleroi;Restaurant;Autre;071/70.17.47;Autre
Le Caryatis;Avenue De L'Europe;15;6000;Charleroi;Restaurant;Grec;071/31.39.54;Grec
Chez Lolotte;Avenue Général Michel;13;6000;Charleroi;Restaurant;Autre;071/65.18.23;Autre
L'Oasis;Rue Charles Dupret;10;6000;Charleroi;Restaurant;Couscous;071/31.87.97;Couscous
Papilles Et Pupilles;Rue Charles Dupret;15;6000;Charleroi;Restaurant;Français;0488/99.85.95;Français
